Well ID	Time ID	Median C2	Median C3					
103100107	1	24846	21083					
103100107	2	23742	22137					
103100107	3	23799	22169					
103100107	4	24041	22793					
103100107	5	23619	22356					
103100107	6	23702	22497					
103100107	7	24679	23091					
103100107	8	24179	22435					
103100107	9	24254	22305					
103100109	1	20460	21561					
103100109	2	21093	22528					
103100109	3	22152	21901					
103100109	4	21233	22090					
103100109	5	22108	22427					
103100109	6	22150	23066					
103100109	7	22162	23408					
103100109	8	23836	23486					
103100109	9	23066	21753					
103100111	1	16321	14989					
103100111	2	16667	16516					
103100111	3	16075	16757					
103100111	4	16712	16480					
103100111	5	17827	16544					
103100111	6	17299	16743					
103100111	7	17907	16707					
103100111	8	17852	16329					
103100111	9	18272	15936					
103100209	1	18484	18952					
103100209	2	17965	18962					
103100209	3	18393	21021					
103100209	4	19722	21350					
103100209	5	21792	20783					
103100209	6	20539	20639					
103100209	7	22015	21709					
103100209	8	21500	19923					
103100209	9	20801	19745					
103100402	1	21498	14566					
103100402	2	21691	15476					
103100403	1	20793	20551					
103100403	2	21707	21323					
103100403	3	22132	21898					
103100403	4	22329	22154					
103100403	5	22633	21982					
103100403	6	23443	23137					
103100403	7	23811	22579					
103100403	8	24474	22195					
103100403	9	23208	22257					
103100506	1	31899	25267					
103100506	2	30899	25577					
103100506	3	33100	26458					
103100506	4	36710	25860					
103100506	5	42964	27300					
103100506	6	41337	26702					
103100506	7	42805	27361					
103100506	8	41824	26886					
103100506	9	43398	26606					
103100602	1	24507	17229					
103100602	2	24526	18080					
103100602	3	25099	18347					
103100602	4	26420	19732					
103100602	5	25949	19563					
103100602	6	26846	20131					
103100602	7	26854	20540					
103100602	8	27295	20577					
103100602	9	27482	20460					
103100603	1	23236	18074					
103100603	2	23692	18709					
103100603	3	23662	18217					
103100603	4	26401	20692					
103100603	5	25701	19828					
103100603	6	26685	20363					
103100603	7	27858	20152					
103100603	8	29548	21719					
103100603	9	29783	20925					
103100702	1	24287	23426					
103100702	2	24616	21859					
103100702	3	25388	24895					
103100702	4	26371	24126					
103100702	5	25775	23197					
103100702	6	26983	25545					
103100702	7	27223	26385					
103100702	8	28296	26539					
103100702	9	28174	27147					
103100709	1	24376	20365					
103100709	2	25317	20153					
103100709	3	27798	21027					
103100709	4	27602	20733					
103100709	5	26818	19837					
103100709	6	29085	21377					
103100709	7	29659	21660					
103100709	8	29472	20491					
103100709	9	28427	20585					
103100711	1	17770	17658					
103100711	2	17337	17843					
103100711	3	17393	18547					
103100711	4	19609	20154					
103100711	5	17536	19613					
103100711	6	17576	19662					
103100711	7	18958	19332					
103100711	8	18498	17827					
103100711	9	18581	19020					
103100807	1	22669	13083					
103100807	1	22086	17417					
103100807	2	23154	14043					
103100807	2	21712	19135					
103100807	3	22637	18462					
103100807	4	22350	19393					
103100807	5	23285	20407					
103100807	6	22232	19915					
103100807	7	24136	18999					
103100807	8	23658	20738					
103100807	9	23384	20543					
103100811	1	23312	24026					
103100811	2	25862	24647					
103100811	3	24786	24833					
103100811	4	23840	25256					
103100811	5	23163	26293					
103100811	6	23489	26909					
103100811	7	23933	26660					
103100811	8	24459	25938					
103100811	9	24927	25604					
103101002	1	24815	15175					
103101002	2	24494	15852					
103101002	3	25356	17097					
103101002	4	25925	17729					
103101002	5	26413	18456					
103101002	6	25804	18928					
103101002	7	27437	19198					
103101002	8	26262	18759					
103101002	9	26780	18933					
103101005	1	28390	23437					
103101005	2	23638	23999					
103101005	3	23676	25238					
103101005	4	23701	25918					
103101005	5	24065	25592					
103101005	6	24328	27017					
103101005	7	24594	25670					
103101005	8	23772	26823					
103101005	9	25320	26258					
103101009	1	20204	22036					
103101009	2	21008	21778					
103101009	3	21125	22514					
103101009	4	20459	22586					
103101009	5	21285	22847					
103101009	6	21772	23788					
103101009	7	22861	23434					
103101009	8	22815	24082					
103101009	9	24287	23788					
103101103	1	21428	20623					
103101103	2	21569	22260					
103101103	3	21652	22525					
103101103	4	21904	23519					
103101103	5	22931	23426					
103101103	6	23801	24576					
103101103	7	23095	25934					
103101103	8	25387	25711					
103101103	9	27800	25666					
103101106	1	22687	24252					
103101106	2	21760	24942					
103101106	3	22732	24751					
103101106	4	22108	26269					
103101106	5	22950	26740					
103101106	6	22791	27580					
103101106	7	22599	27215					
